,Movie Name,Year of Release,Run Time,Rating,Metascore,Genre,Votes,Gross,Description
254,La haine,-1995,98 min,8.1,****,"Crime, Drama","183,595",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
255,Gran Torino,-2008,116 min,8.1,72,Drama,"793,484",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
256,My Neighbor Totoro,-1988,86 min,8.1,86,"Animation, Comedy, Family","356,676",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
257,In the Mood for Love,-2000,98 min,8.1,87,"Drama, Romance","158,265",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
258,Million Dollar Baby,-2004,132 min,8.1,86,"Drama, Sport","703,181",$100.49M,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
259,Hachi: A Dog's Tale,-2009,93 min,8.1,****,"Biography, Drama, Family","297,538",#236,A college professor bonds with an abandoned dog he takes into his home.
260,The Iron Giant,-1999,86 min,8.1,85,"Animation, Action, Adventure","212,472",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
261,Wild Tales,-2014,122 min,8.1,77,"Comedy, Drama, Thriller","207,125",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
262,The Third Man,-1949,93 min,8.1,97,"Film-Noir, Mystery, Thriller","176,383",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
263,Before Sunset,-2004,80 min,8.1,91,"Drama, Romance","276,250",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
264,Stalker,-1979,162 min,8.1,85,"Drama, Sci-Fi","139,333",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
265,"Paris, Texas",-1984,145 min,8.1,81,Drama,"111,608",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
266,On the Waterfront,-1954,108 min,8.1,91,"Crime, Drama, Thriller","159,552",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
267,The Bridge on the River Kwai,-1957,161 min,8.1,87,"Adventure, Drama, War","226,955",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
268,Ben-Hur,-1959,212 min,8.1,90,"Adventure, Drama","246,430",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
269,The Seventh Seal,-1957,96 min,8.1,88,"Drama, Fantasy","191,255",#206,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
270,A Silent Voice: The Movie,-2016,130 min,8.1,78,"Animation, Drama","91,655",%^%^%^,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
271,Persona,-1966,83 min,8.1,86,"Drama, Thriller","124,905",#245,A nurse is put in charge of a mute actress and finds that their personae are melding together.
272,Amores Perros,-2000,154 min,8.1,83,"Drama, Thriller","246,620",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
273,Network,-1976,121 min,8.1,83,Drama,"164,520",#222,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
274,In the Name of the Father,-1993,133 min,8.1,84,"Biography, Crime, Drama","181,015",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
275,Neon Genesis Evangelion: The End of Evangelion,-1997,87 min,8.1,****,"Animation, Action, Drama","59,416",%^%^%^,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
276,The Best Years of Our Lives,-1946,170 min,8.1,93,"Drama, Romance, War","67,710",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
277,Hotel Rwanda,-2004,121 min,8.1,79,"Biography, Drama, History","363,544",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
278,Rebecca,-1940,130 min,8.1,86,"Drama, Film-Noir, Mystery","141,739",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
279,The Man Who Shot Liberty Valance,-1962,123 min,8.1,94,"Drama, Western","79,480",%^%^%^,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
280,Andrei Rublev,-1966,205 min,8.1,****,"Biography, Drama, History","55,491",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
281,Paper Moon,-1973,102 min,8.1,77,"Comedy, Crime, Drama","50,219",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
282,The Celebration,-1998,105 min,8.1,82,Drama,"90,612",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
283,A Woman Under the Influence,-1974,155 min,8.1,88,"Drama, Romance","27,093",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
284,Mary and Max,-2009,92 min,8.1,****,"Animation, Comedy, Drama","181,861",#203,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
285,It Happened One Night,-1934,105 min,8.1,87,"Comedy, Romance","108,101",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
286,PK,-2014,153 min,8.1,****,"Comedy, Drama, Sci-Fi","194,272",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
287,The Grapes of Wrath,-1940,129 min,8.1,96,Drama,"96,822",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
288,All Quiet on the Western Front,-1930,152 min,8.1,91,"Drama, War","65,775",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
289,Three Colors: Red,-1994,99 min,8.1,100,"Drama, Mystery, Romance","106,868",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
290,Wild Strawberries,-1957,91 min,8.1,88,"Drama, Romance","110,834",#192,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
291,Fanny and Alexander,-1982,188 min,8.1,100,Drama,"65,685",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
292,Yi Yi: A One and a Two...,-2000,173 min,8.1,94,"Drama, Romance","26,585",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
293,The 400 Blows,-1959,99 min,8.1,****,"Crime, Drama","123,124",#244,"A young boy, left without attention, delves into a life of petty crime."
294,The Red Shoes,-1948,135 min,8.1,****,"Drama, Music, Romance","37,196",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
295,Bajrangi Bhaijaan,-2015,163 min,8.1,****,"Action, Adventure, Comedy","92,738",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
296,Underground,-1995,167 min,8.1,79,"Comedy, Drama, Fantasy","59,825",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
297,The Message,-1976,177 min,8.1,****,"Biography, Drama, History","49,334",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
298,Lagaan: Once Upon a Time in India,-2001,224 min,8.1,84,"Drama, Musical, Sport","117,487",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
299,Inherit the Wind,-1960,128 min,8.1,75,"Biography, Drama, History","31,677",%^%^%^,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
300,The General,-1926,78 min,8.1,****,"Action, Adventure, Comedy","94,629",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
301,Winter Sleep,-2014,196 min,8.1,88,Drama,"53,545",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
302,Farewell My Concubine,-1993,171 min,8.1,83,"Drama, Music, Romance","31,147",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
303,The Battle of Algiers,-1966,121 min,8.1,96,"Drama, War","62,974",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
304,Wolf Children,-2012,117 min,8.1,71,"Animation, Drama, Family","47,285",%^%^%^,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
305,Mr. Smith Goes to Washington,-1939,129 min,8.1,73,"Comedy, Drama","118,253",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
306,The Hidden Fortress,-1958,126 min,8.1,89,"Action, Adventure, Drama","40,724",%^%^%^,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
307,Dil Chahta Hai,-2001,183 min,8.1,****,"Comedy, Drama, Romance","74,115",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
308,Diabolique,-1955,117 min,8.1,****,"Crime, Drama, Horror","67,674",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
309,White Heat,-1949,114 min,8.1,****,"Action, Crime, Drama","34,529",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
310,Sunrise,-1927,94 min,8.1,95,"Drama, Romance","52,581",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
311,Throne of Blood,-1957,110 min,8.1,****,Drama,"54,128",%^%^%^,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
312,Ace in the Hole,-1951,111 min,8.1,72,"Drama, Film-Noir","37,758",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
313,OMG: Oh My God!,-2012,125 min,8.1,****,"Comedy, Drama, Fantasy","61,159",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
314,The Gold Rush,-1925,95 min,8.1,****,"Adventure, Comedy, Drama","114,684",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
315,The Virgin Spring,-1960,89 min,8.1,****,Drama,"30,561",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
316,Udaan,-2010,134 min,8.1,****,Drama,"46,061",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
317,Autumn Sonata,-1978,99 min,8.1,****,"Drama, Music","36,151",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
318,Talvar,-2015,132 min,8.1,****,"Crime, Drama, Mystery","36,744",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
319,Let's Go! India,-2007,153 min,8.1,68,"Drama, Family, Sport","82,572",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
320,Barfi!,-2012,151 min,8.1,****,"Comedy, Drama, Romance","84,443",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
321,A Wednesday,-2008,104 min,8.1,****,"Action, Crime, Drama","80,503",%^%^%^,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
322,Masaan,-2015,109 min,8.1,****,Drama,"29,565",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
323,Nights of Cabiria,-1957,110 min,8.1,****,Drama,"50,622",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
324,Rang De Basanti,-2006,167 min,8.1,****,"Comedy, Crime, Drama","120,795",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
325,Rififi,-1955,118 min,8.1,97,"Crime, Drama, Thriller","35,808",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
326,Raise the Red Lantern,-1991,125 min,8.1,****,"Drama, Romance","34,134",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
327,Article 15,-2019,130 min,8.1,****,"Crime, Drama, Mystery","35,424",%^%^%^,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
328,Queen,-2013,146 min,8.1,****,"Adventure, Comedy, Drama","67,255",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
329,The Bandit,-1996,128 min,8.1,****,"Crime, Drama, Thriller","71,074",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
330,The Grand Illusion,-1937,113 min,8.1,****,"Drama, War","37,847",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
331,Pink,(III) (2016),136 min,8.1,****,"Crime, Drama, Thriller","46,683",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
332,Munna Bhai M.B.B.S.,-2003,156 min,8.1,****,"Comedy, Drama","85,069",%^%^%^,A gangster sets out to fulfill his father's dream of becoming a doctor.
333,Jean de Florette,-1986,120 min,8.1,****,"Comedy, Drama","26,795",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
334,Time of the Gypsies,-1988,142 min,8.1,****,"Comedy, Crime, Drama","31,848",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
335,Sholay,-1975,162 min,8.1,****,"Action, Adventure, Comedy","57,367",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
336,Tangerines,-2013,87 min,8.1,73,"Drama, War","47,719",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
337,Her Sey Çok Güzel Olacak,-1998,107 min,8.1,****,"Comedy, Drama, Thriller","26,491",%^%^%^,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
338,Sarfarosh,-1999,174 min,8.1,****,"Action, Drama, Thriller","26,332",%^%^%^,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
339,Hera Pheri,-2000,156 min,8.1,****,"Action, Comedy, Crime","69,898",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
340,The Circus,-1928,72 min,8.1,90,"Comedy, Family, Romance","35,042",%^%^%^,The Tramp finds work and the girl of his dreams at a circus.
341,Kahaani,-2012,122 min,8.1,****,"Mystery, Thriller","64,282",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
342,Black,-2005,122 min,8.1,****,Drama,"35,558",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
343,Anand,-1971,122 min,8.1,****,"Drama, Musical","34,579",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
344,Mission: Impossible - Dead Reckoning Part One,-2023,163 min,8,81,"Action, Adventure, Thriller","82,331",%^%^%^,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
345,Dune,-2021,155 min,8,74,"Action, Adventure, Drama","695,113",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
346,Guardians of the Galaxy,-2014,121 min,8,76,"Action, Adventure, Comedy","1,230,600",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
347,Blade Runner 2049,-2017,164 min,8,81,"Action, Drama, Mystery","612,396",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
348,Deadpool,-2016,108 min,8,65,"Action, Comedy","1,077,090",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
349,The Revenant,(I) (2015),156 min,8,76,"Action, Adventure, Drama","834,171",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
350,Rain Man,-1988,133 min,8,65,Drama,"529,964",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
351,The Princess Bride,-1987,98 min,8,77,"Adventure, Comedy, Family","438,153",$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
352,La La Land,-2016,128 min,8,94,"Comedy, Drama, Music","622,425",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
353,Black Swan,-2010,108 min,8,79,"Drama, Thriller","793,629",$106.95M,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
354,Her,-2013,126 min,8,91,"Drama, Romance, Sci-Fi","641,177",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
355,Donnie Darko,-2001,113 min,8,88,"Drama, Mystery, Sci-Fi","824,137",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
356,The Avengers,-2012,143 min,8,69,"Action, Sci-Fi","1,423,762",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
357,The Martian,-2015,144 min,8,80,"Adventure, Drama, Sci-Fi","885,648",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
358,The Imitation Game,-2014,114 min,8,71,"Biography, Drama, Thriller","794,331",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
359,The Incredibles,-2004,115 min,8,90,"Animation, Action, Adventure","769,808",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
360,Casino Royale,-2006,144 min,8,80,"Action, Adventure, Thriller","674,571",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
361,Zootopia,-2016,108 min,8,78,"Animation, Adventure, Comedy","521,257",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
362,CODA,-2021,111 min,8,72,"Comedy, Drama, Music","148,861",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
363,Sin City,-2005,124 min,8,74,"Crime, Thriller","781,384",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
364,Magnolia,-1999,188 min,8,78,Drama,"320,864",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
365,The Pursuit of Happyness,-2006,117 min,8,64,"Biography, Drama","535,620",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
366,Dances with Wolves,-1990,181 min,8,72,"Adventure, Drama, Western","278,793",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
367,The Graduate,-1967,106 min,8,83,"Comedy, Drama, Romance","281,662",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
368,Scent of a Woman,-1992,156 min,8,59,Drama,"313,231",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
369,Groundhog Day,-1993,101 min,8,72,"Comedy, Drama, Fantasy","655,852",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
370,JFK,-1991,189 min,8,72,"Drama, History, Thriller","163,207",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
371,Soul,-2020,100 min,8,83,"Animation, Adventure, Comedy","350,797",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
372,Aladdin,-1992,90 min,8,86,"Animation, Adventure, Comedy","442,331",$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
373,Dog Day Afternoon,-1975,125 min,8,86,"Biography, Crime, Drama","265,690",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
374,Young Frankenstein,-1974,106 min,8,83,Comedy,"163,736",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
375,Nausicaä of the Valley of the Wind,-1984,117 min,8,86,"Animation, Adventure, Sci-Fi","175,276",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
376,Perfect Blue,-1997,81 min,8,67,"Animation, Crime, Drama","85,593",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
377,Rosemary's Baby,-1968,137 min,8,96,"Drama, Horror","224,990",%^%^%^,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
378,12 Monkeys,-1995,129 min,8,74,"Mystery, Sci-Fi, Thriller","631,919",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
379,Big Fish,-2003,125 min,8,58,"Adventure, Drama, Fantasy","449,758",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
380,Blood Diamond,-2006,143 min,8,64,"Adventure, Drama, Thriller","567,344",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
381,Slumdog Millionaire,-2008,120 min,8,84,"Crime, Drama, Romance","861,399",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
382,Beauty and the Beast,-1991,84 min,8,95,"Animation, Family, Fantasy","467,134",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
383,Planet of the Apes,-1968,112 min,8,79,"Adventure, Sci-Fi","186,431",$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
384,Castle in the Sky,-1986,125 min,8,78,"Animation, Adventure, Family","173,412",%^%^%^,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
385,The Invisible Guest,-2016,106 min,8,****,"Crime, Drama, Mystery","184,398",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
386,Do the Right Thing,-1989,120 min,8,93,"Comedy, Drama","107,525",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
387,Life of Brian,-1979,94 min,8,77,Comedy,"411,316",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
388,Akira,-1988,124 min,8,67,"Animation, Action, Drama","195,462",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
389,The King's Speech,-2010,118 min,8,88,"Biography, Drama, History","694,130",$138.80M,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
390,Kill Bill: Vol. 2,-2004,137 min,8,83,"Action, Crime, Thriller","778,321",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
391,Mommy,(I) (2014),139 min,8,74,Drama,"59,550",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
392,Dogville,-2003,178 min,8,61,"Crime, Drama","153,915",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
393,Lion,-2016,118 min,8,69,"Biography, Drama","243,694",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
394,Ip Man,-2008,106 min,8,59,"Action, Biography, Drama","229,426",%^%^%^,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
395,The Bourne Ultimatum,-2007,115 min,8,85,"Action, Mystery, Thriller","646,389",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
396,Chungking Express,-1994,102 min,8,78,"Comedy, Crime, Drama","89,120",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
397,Rio Bravo,-1959,141 min,8,93,"Drama, Western","65,650",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
398,Butch Cassidy and the Sundance Kid,-1969,110 min,8,66,"Biography, Crime, Drama","221,770",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
399,Sling Blade,-1996,135 min,8,84,Drama,"96,509",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
